vidid, AestheticScore
lmeKOZGuPm8, 3.9604936147807166
WCFRPjL8FF0, 4.715925228781998
IhSkZxWvO3M, 5.426527081755921
lMhsV091ET4, 5.088603092590347
TFAxSADJ4e8, 5.23326787003316
HvXfT4zuUdI, 4.725217551749665
U9qz91-aGOw, 4.250492705963552
AwmJHcx2iHg, 5.027646752074361
7z0WtOtHL3c, 4.190130337141454
Q_Syx-rC8pA, 4.919900644163135
IvOiqZfXBlM, 5.400523646268994
qFbdsLm5mvI, 4.935481884516776
OXiSA1OEX7k, 5.220029607298784
cICN8MV5Nr0, 4.945974421920255
NgXxHS-AL5g, 4.651656612753868
IS--jXYsWVE, 4.749451269861311
8yJAEgN_PAU, 4.611733018304221
fz4gqz-HDqU, 5.090095217106864
RM4SQdT2JE4, 5.001102467998862
K1KTBdOimzQ, 4.068874964490533
V1tlHLeaO0U, 5.245689994073473
ZOM5im2-8Hc, 4.617812633514404
_r6I-sLM9yg, 5.486760529805906
Ct3afssstno, 5.004757682792842
jsa-ydukCmY, 4.8263360891724005
qephc1Th3_w, 4.729400362004526
PtI3683lmOM, 4.842948251403868
DCI1OeLFWUo, 4.993755374918692
SzCxb8SnNmg, 4.8527405702043325
Eb1fwobiD_8, 5.481214827625081
2cQk70eTBfk, 5.204901840304956
RZCrSoduCxE, 4.97569111501798
kDj6UBHN-mo, 4.398513597436249
aXvDEmo6uS4, 4.888023296371102
Y9_2bMcAEPk, 5.352103104814887
xiqP1gp38uQ, 4.780373131739907
ETiaBsWH5Xg, 4.96438843337819
W7CN7l--kzY, 4.993532390333712
NJ0W_YqPV3w, 5.259199166437611
uechD2E7f68, 4.953422456397675
u30N1NsQyGQ, 5.3011670091655105
Z7EvVujcE1M, 4.778324989019893
Do_FSmyj15k, 5.0337160524504725
04eP-Zb_4mk, 5.239661460742354
acDnYIodO-k, 5.264162702020258
0bjbykvtmKw, 4.9465563632547855
0IdxdvmtoYI, 4.30370611458784
n1fVyW3WNOI, 5.12358973256778
M4o3E1Yjvp8, 5.4874847589526325
7STa-tiQajQ, 5.313421226397622
Jo4zBfV20YI, 3.8702052743174136
b6vzsk3J89s, 5.037673708342481
9t-a0ZMc87A, 4.844611756503582
P8OopBgony4, 4.983595545170829
POTBFevHrq8, 5.008356429170817
tiavPB8h0es, 5.49428067356348
Q--kQThif4Y, 4.873839292675257
qAmkl1cO_rs, 4.9122463734820485
5ye791rXo5U, 5.056386503390968
RDBXTq-ah6o, 4.898324094247073
2wNyRFkfBwo, 4.669043528847396
ApFFSa-DmjY, 5.287879423005506
xU7nGvADHZM, 4.901913870126009
flmkQZvN_g8, 5.010299939662218
t649YjYzpiY, 5.142326222267002
kDstiF3gAwI, 4.889109378680587
TfCgn6Z7FXE, 4.985125391744077
W6mRkmbn7Kk, 4.543742982670665
0eKHw0iBnnQ, 4.44064926635474
sHu8KfsY7jE, 4.72158820182085
nlaQ28E31aE, 4.617238246893976
FRsUKYAKpLY, 5.097907870542258
EywIAz8fPnY, 4.758801977150142
SMr1O9fe4pw, 5.748407898005098
HWRXX7O3Hc8, 4.844004932790995
D0e_FJR7CuQ, 5.294356709346175
FQorqoLhqq0, 4.96847632015124
JWIz28qGbcA, 4.778178573353216
xiYI5PiUz8Y, 5.1484771782998
kD-6d5sfV88, 4.498905289568938
uWUHkCgslNE, 5.269608319038525
N-YNANU4fOo, 5.2513759622816
vpngSW75Vrk, 5.190759209683165
6Yasv2X2IEc, 4.814750267425552
Af0_xgxir_I, 5.293962826952338
4x3youGulZ0, 5.322472368046874
xLWUGumz1dI, 4.862771686806809
ZcDC7om3HaU, 5.366207601502538
szjbcM9C9GE, 5.068810489261523
W8MrW02tYSk, 4.473944925266551
CWfPZ6VpDtQ, 4.68590553291142
SM7T5g2U_jM, 4.682285388931632
tJJNrtFlPVM, 5.095427174121141
mi0yps29oj0, 4.741817239671946
gu6dYd_SgT0, 4.797566782683134
MiyuVbjkAck, 5.021674792049453
1M6rOn_YGdo, 5.351760770456167
ouIK8VJ3Us4, 5.485849743708968
7gan3O3PHx8, 5.352547831367701
cbSDr_Yc4Es, 4.711617190390825
-NLBtZKx2cA, 4.68215430341661
nXKY6sQfx4A, 5.140739217400551
UcLbHHV4Tr0, 5.187178669031709
JqaHfWpf0Lw, 5.306951124919578
sHEwTKEDVM0, 5.334236419759691
EitrprrfMkA, 5.250398173229769
t5ULKkQvh74, 5.289339377079159
62ZRPJkHOX0, 4.84725028835237
KYmsBoO2GDA, 5.417951594397891
mMl2CxW392U, 4.947549165226519
sMWp1-VmUUs, 4.912266127765179
mDqiG_iDllo, 4.344428827054799
gWAXOD29YDU, 5.169302588328719
ie7majx_hxo, 4.699392138631083
-FxhlhOY3vw, 5.38014706649119
PE5zJ-9iEms, 5.29109861003235
ta1sUTiJNkY, 4.6939083291217685
qaqkgPeprTM, 5.304309772094712
v4pTNzN_hbg, 5.547138161957264
hN3XUvHi6UQ, 4.886592569760978
i8QvO2S36oU, 4.656105406116694
VERd3WPSixE, 4.225562511943281
CXF5ppYM1RM, 4.32195987761952
gping-mC8EU, 5.0318103219615296
xe9tAknuGW4, 5.550136655801907
Zf9R3I1GYh8, 4.8180085811764
6HJf1nT8tuc, 4.941532357828692
NgKYgqt_fRA, 4.834613806568086
pLrdq4s-Ds0, 4.123910914058797
-IYuCz4reOo, 5.326672277646139
Hwv03sMqTOQ, 4.729642280493863
w7SYXE77F-0, 4.387439486104995
83lVeDxKXUY, 5.049947704654187
FA6Cxx70F7s, 4.636181510984898
SuBd5mV4NEg, 5.142211253987625
kxLoycj4pJY, 4.850967252627015
AWTuvTJKtr0, 4.882178881205618
cxW75UljJ48, 4.329821409424767
jdTwCSxNINA, 4.868963991291821
BnY7rdFjYlA, 5.362611668067984
-k-V3ESHcfA, 4.566941942379344
ycyODn0uwzk, 5.205524827353656
7loE5hj0P5w, 4.290949410409667
Fwl1HtQ-OD8, 5.031689510680735
7GM1aMzlf38, 4.346091038547456
cmkKxNN7cs4, 5.11152383312583
cKwS4NfgGgc, 4.397766100242734
YQCgWv6ub14, 4.492470598779619
E3d9o3ZlxLw, 5.165003914386034
1dhGKw7ph3s, 5.202932865649927
jKgGh5a5gFA, 5.10848942771554
m9Z0q9D46Ww, 4.93617604393512
SQHNlc8OZu8, 4.855735225457465
