,faceCount,faceCover,maxAngry,maxDisgust,maxFear,maxHappy,maxSad,maxSurprise,maxNeutral
600,2,0.09057291666666667,0.013058776035904884,0.0027055591344833374,0.31588056683540344,0.16730743646621704,0.17289282381534576,0.25512439012527466,0.7967334985733032
601,1,0.014004629629629629,0.0735141858458519,9.291020251112059e-05,0.0011425234843045473,0.001083863782696426,0.0024950734805315733,0.07076484709978104,0.8509065508842468
602,1,0.025949074074074076,0.005236739758402109,0.0005277690943330526,0.35970842838287354,0.06520846486091614,0.07653909921646118,0.4846392273902893,0.008140240795910358
603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,1,0.06592592592592593,0.0033741560764610767,3.244563049520366e-05,0.750734806060791,9.991355909733102e-05,0.00489231338724494,0.2387399524450302,0.002126488368958235
606,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,1,0.01484375,0.0014278680318966508,4.597506267600693e-05,0.017963558435440063,0.00010670749907149002,0.0014053704217076302,0.9768341183662415,0.0022164026740938425
609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,1,0.016319444444444445,0.0010449106339365244,1.8618646208778955e-05,0.005486734677106142,0.00022949064441490918,0.009855546057224274,0.8627636432647705,0.1206011027097702
611,2,0.06653356481481482,0.004675815347582102,0.00036104500759392977,0.004696561023592949,0.0002462122356519103,0.977012038230896,0.000300811167107895,0.01270750630646944
612,1,0.02753472222222222,0.011714765802025795,3.0005487133166753e-05,0.0001024728044285439,0.001276529161259532,0.05443254113197327,0.0001731736265355721,0.9322704672813416
613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,1,0.11540509259259259,0.004023177549242973,0.014087045565247536,0.00455532455816865,0.4632950723171234,0.014741916209459305,0.12320905178785324,0.37608829140663147
615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,1,0.033854166666666664,0.7930142879486084,0.0011868256842717528,0.0006690429290756583,0.0008659090381115675,0.08615155518054962,0.0003810219932347536,0.11773134768009186
619,1,0.12586805555555555,0.0013694162480533123,0.03300179913640022,0.0009449732606299222,0.8430982232093811,0.05181857571005821,0.0028581423684954643,0.06690884381532669
620,1,0.10515046296296296,0.008279708214104176,0.004006101284176111,0.04124246537685394,0.20721139013767242,0.023623298853635788,0.5823708772659302,0.1332661211490631
621,2,0.18871527777777777,0.005984002724289894,0.017043964937329292,0.385217547416687,0.13773541152477264,0.2570051848888397,0.6406079530715942,0.13957221806049347
622,1,0.03333333333333333,0.002175315748900175,0.0008134966483339667,0.05151206627488136,0.00271399668417871,0.004281184170395136,0.8840758204460144,0.05442821606993675
623,1,0.025729166666666668,0.2924864590167999,0.0011313315480947495,0.0024431191850453615,0.00635821046307683,0.02153598517179489,0.029993046075105667,0.6460518836975098
624,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,2,0.04390046296296296,0.004356096964329481,0.00037142643122933805,0.00022898703173268586,0.4063579738140106,0.006648005452007055,0.010298792272806168,0.5717387199401855
626,1,0.08618055555555555,0.0008596836705692112,0.0036183232441544533,0.000249778589932248,0.9356574416160583,0.000777541019488126,0.0013767930213361979,0.057460326701402664
627,1,0.04393518518518519,0.007974449545145035,0.0001052829684340395,0.04706882685422897,0.0038579595275223255,0.0021619873587042093,0.9324424266815186,0.006389070302248001
628,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,1,0.04398148148148148,0.0007553754840046167,0.00037621651426889,0.013754678890109062,0.13654206693172455,0.018501142039895058,0.037167988717556,0.7929025292396545
630,3,0.2130034722222222,0.0007481252541765571,0.005493704695254564,0.002759604249149561,0.9758322238922119,0.018652379512786865,0.09464073926210403,0.03273720294237137
631,1,0.05758680555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,2,0.09135416666666667,0.7131636142730713,0.23173382878303528,0.03970235213637352,0.727737545967102,0.012414672411978245,0.016711585223674774,0.22591261565685272
634,1,0.008101851851851851,0.08026459813117981,0.000215212392504327,0.0006738218362443149,0.7170064449310303,0.005829262547194958,0.150976300239563,0.04503440856933594
635,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,1,0.10397569444444445,0.023074138909578323,0.014020835049450397,0.00104129605460912,0.6694954633712769,0.007527339272201061,0.006349003873765469,0.27849188446998596
637,1,0.019675925925925927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,1,0.03913194444444444,0.0010239679832011461,0.0039199343882501125,0.00015017710393294692,0.932655930519104,0.004982092883437872,0.0035145184956490993,0.05375322327017784
639,4,0.19559027777777777,0.3068859279155731,0.040598344057798386,0.010128187946975231,0.6503486037254333,0.00448528490960598,0.5014526844024658,0.2670123279094696
640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,1,0.03463541666666667,0.0010769275249913335,0.005403743591159582,0.013040216639637947,0.5503286123275757,0.0005055813817307353,0.4287635385990143,0.0008813330787234008
651,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,1,0.11649305555555556,0.004755784757435322,0.12811274826526642,0.09145239740610123,0.07256602495908737,0.3476676940917969,0.159815713763237,0.19562968611717224
