,0
639,41434
640,37853
641,26056
642,20950
643,31183
644,30069
645,39309
646,35261
647,37806
648,37553
649,20069
650,34173
651,20739
652,31209
653,28368
654,13454
655,36462
656,14125
657,24897
658,23645
659,13593
660,25782
661,12184
662,29831
663,22714
664,25590
665,32364
666,34524
667,31452
668,34111
669,37485
670,29343
671,11069
672,12569
673,28061
674,35942
675,35261
676,31568
677,36452
678,14011
679,10769
680,51834
681,12478
682,28151
683,35783
684,37193
685,35430
686,29938
687,47608
688,36496
689,41269
690,11145
691,12207
692,32904
693,46739
694,36116
695,46814
696,41749
697,24899
698,20152
699,8888
700,49950
701,32848
702,47846
703,40073
704,44442
705,13745
706,60292
707,48111
708,56786
709,27173
710,20362
711,33771
712,34569
713,19659
714,31069
715,38940
716,61286
717,57644
718,31539
719,10883
720,27166
721,40537
722,28719
723,33175
724,49436
725,53638
726,42106
727,28181
728,35934
729,40379
730,34223
731,24547
732,36153
733,40797
734,36517
735,38796
736,35089
737,49470
738,35786
739,26331
740,45687
741,42293
742,29200
743,42032
744,31228
745,16310
746,30989
747,54751
748,40181
749,28871
750,34023
751,31059
752,42729
753,26047
754,43245
755,19411
756,15494
757,23297
758,11175
759,13089
760,13284
761,12665
762,14028
763,9364
764,9969
765,16740
766,19270
767,4009
768,7692
769,8614
770,7210
771,12815
772,13221
773,11385
774,35328
775,15316
776,16735
777,12787
778,14425
779,9201
780,16487
781,18558
782,28401
783,40816
784,15609
785,26688
786,20133
787,20101
788,19862
789,24166
790,15255
791,15417
792,15277
793,19908
794,21666
795,19035
796,23650
797,15883
798,10726
799,41243
800,31307
801,16187
802,24303
803,38257
804,31838
805,32176
806,37439
807,24630
808,29176
809,30760
810,31022
811,28023
812,37292
813,38947
814,29544
815,33860
816,36934
817,38728
818,33928
819,36690
820,15543
821,34953
822,29152
823,34324
824,29404
825,37681
826,8496
827,32454
828,30847
829,35598
830,29269
831,7909
832,30601
833,27324
834,34460
835,28522
836,26233
837,32686
838,5456
839,23706
840,24111
841,11942
842,32060
843,6917
844,14123
845,17842
846,17638
847,9150
848,16183
849,17276
850,9812
851,9634
852,8086
853,46713
854,23668
855,19483
856,13729
857,25705
858,34220
859,25665
860,81556
861,16144
862,31092
863,41971
864,29452
865,41223
866,34453
867,34279
868,30251
869,34525
870,27933
871,31074
872,25569
873,11596
874,27421
875,27134
876,32021
877,27555
878,28544
879,26272
880,27507
881,21161
882,33097
883,24773
884,11435
885,37165
886,37421
887,26987
888,22039
889,27033
890,38394
891,25895
892,33313
893,18757
894,22336
895,11903
896,35568
897,30763
898,22092
899,5444
900,12791
901,11571
902,18455
903,8504
904,16127
905,12238
906,12124
907,12635
908,16757
909,14104
910,21661
911,8169
912,19520
913,8162
914,22943
915,11590
916,10615
917,15137
918,12881
919,16739
920,12323
921,34051
922,12274
923,27068
924,34197
925,33708
926,30903
927,38076
928,37136
929,24345
930,10323
931,9612
932,28259
933,27005
934,26408
935,36580
936,18101
937,38642
938,31888
939,6537
940,30896
941,38161
942,34036
943,20063
944,34032
945,8820
946,9532
947,28039
948,19933
949,26430
950,23490
951,26126
952,34089
953,25066
954,25682
955,20861
956,29696
957,8058
958,5466
959,7109
960,16857
961,20399
962,18317
963,26317
964,23687
965,22418
966,22765
967,22414
968,31081
969,23292
970,23776
971,16837
972,23631
973,6636
974,19788
