,faceCount,faceCover,maxAngry,maxDisgust,maxFear,maxHappy,maxSad,maxSurprise,maxNeutral,vidid
0,1,0.0391319444444444,0.0008188569336198,0.1286463290452957,0.0008184165344573,0.846407949924469,0.0167611502110958,0.0020321181509643,0.0045151435770094,eQ_8F4nzyiw
1,1,0.1732060185185185,0.0053662206046283,0.0068172621540725,0.0046645035035908,0.8069453239440918,0.0008453822811134,0.1747175753116607,0.0006438232958316,lEaPQ7YrWQg
2,1,0.1776851851851852,0.0001909829734358,7.728915079496801e-05,0.0009811999043449,0.9347513318061828,0.0010880461195483,0.0627703890204429,0.0001408820535289,J1z4XqEkSEU
3,1,0.1288425925925926,0.0039553837850689,0.002394625917077,0.1168152987957,0.0272333417087793,0.0009192588040605,0.8462687730789185,0.0024133070837706,HREquvjw0eA
4,1,0.0833680555555555,0.0003099676978308,0.0001603388373041,0.0174507852643728,0.0781496465206146,0.000108770407678,0.9035496115684508,0.0002708409447222,GZEoss4XIgc
5,2,0.0289583333333333,0.0365428626537323,0.0009201804059557,0.0714506059885025,0.7158165574073792,0.1045661643147468,0.5025975108146667,0.0440788567066192,1dhGKw7ph3s
6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qDLQ7FjPMf8
7,1,0.0438368055555555,0.0203256290405988,3.1033341656439006e-05,0.0007567083812318,0.0060050543397665,0.0002312303549842,0.9701672196388244,0.002483203774318,cxW75UljJ48
8,2,0.0261111111111111,0.8779422044754028,0.0040697194635868,0.0030429176986217,0.9978194236755372,0.039327148348093,0.0027339626103639,0.0711325630545616,_FqH1rqQrQg
9,2,0.1477314814814815,0.0055185207165777,0.0007942903321236,0.0010238684481009,0.980430543422699,0.0078841699287295,0.9830015897750854,0.0091556161642074,AwmJHcx2iHg
10,2,0.0366377314814814,0.6296983361244202,0.010242635384202,0.023866543546319,0.202251985669136,0.0461115948855876,0.574989914894104,0.2394533604383468,uechD2E7f68
11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2O_e3pACFY
12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5k1_zP6IUsM
13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3MU-DIKvY3U
14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P-uzNGTIWCA
15,3,0.0799826388888888,0.0556366108357906,0.00016177049838,0.0032741536851972,0.0374494679272174,0.0483867786824703,0.7635517716407776,0.0915394350886344,A9Hz2HRPQ6g
16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gb0f_jDZQgg
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B4cOdabDiYU
18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CjD9-PBRlSg
19,1,0.0171527777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ibKpofiVg4Y
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q6vVuj3iggE
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,edRloa1ZHqY
22,1,0.0040277777777777,0.9489107131958008,0.0031364338938146,0.0018001871649175,0.0010183674748986,0.0439597517251968,0.000403781508794,0.0007706313044764,vePc5V4h_kg
23,2,0.1972395833333333,0.0148666519671678,0.015432902611792,0.0055103213526308,0.5195479393005371,0.0054179430007934,0.4169693291187286,0.0222548581659793,-k-V3ESHcfA
24,1,0.0021875,0.4760876893997192,0.0006387495668604,0.0047300076112151,0.1838274747133255,0.0212840791791677,0.2602750360965729,0.0531569831073284,8HEfIJlcFbs
25,4,0.012042824074074,0.7956579923629761,0.0004651529889088,0.150911659002304,0.5947100520133972,0.0679231360554695,0.1081063225865364,0.1214489862322807,mWDLkNsWjgg
26,1,0.0661979166666666,0.0073132747784256,0.0011100000701844,0.0135535933077335,0.1079098656773567,0.0265127196907997,0.7684457898139954,0.0751547664403915,nsnyl8llfH4
27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-RjJtO51ykY
