,length,negative,neutral,positive
199,25,0.0,1.0,0.0
200,33,0.0,1.0,0.0
201,89,0.0,0.756,0.244
202,49,0.0,1.0,0.0
203,50,0.0,1.0,0.0
204,28,0.0,0.588,0.412
205,53,0.0,0.653,0.347
206,26,0.0,1.0,0.0
207,53,0.0,1.0,0.0
208,50,0.0,0.67,0.33
209,19,0.0,1.0,0.0
210,44,0.0,0.747,0.253
211,28,0.0,1.0,0.0
212,24,0.0,1.0,0.0
213,21,0.0,1.0,0.0
214,57,0.0,1.0,0.0
215,22,0.0,1.0,0.0
216,36,0.0,1.0,0.0
217,24,0.0,1.0,0.0
218,55,0.0,0.725,0.275
219,69,0.0,0.475,0.525
220,27,0.0,0.588,0.412
221,38,0.506,0.494,0.0
222,39,0.513,0.319,0.168
223,23,0.0,1.0,0.0
224,41,0.31,0.69,0.0
225,50,0.439,0.561,0.0
226,34,0.0,1.0,0.0
227,43,0.375,0.625,0.0
228,46,0.0,1.0,0.0
229,27,0.0,1.0,0.0
230,39,0.256,0.475,0.269
231,33,0.545,0.455,0.0
232,82,0.25,0.75,0.0
233,66,0.0,1.0,0.0
234,53,0.239,0.761,0.0
235,71,0.0,1.0,0.0
236,60,0.0,1.0,0.0
237,90,0.0,1.0,0.0
238,75,0.0,1.0,0.0
239,67,0.0,0.769,0.231
240,92,0.0,0.743,0.257
241,92,0.356,0.463,0.181
242,65,0.0,0.84,0.16
243,62,0.0,0.826,0.174
244,77,0.083,0.625,0.292
245,94,0.0,0.872,0.128
246,70,0.0,0.808,0.192
247,86,0.112,0.746,0.142
248,79,0.0,0.687,0.313
249,71,0.0,0.584,0.416
250,71,0.0,0.826,0.174
251,90,0.271,0.621,0.107
252,32,0.219,0.781,0.0
253,67,0.0,0.853,0.147
254,90,0.0,0.699,0.301
255,46,0.0,0.759,0.241
256,77,0.0,0.769,0.231
257,78,0.0,0.62,0.38
258,74,0.0,0.863,0.137
259,96,0.335,0.574,0.091
260,52,0.0,1.0,0.0
261,86,0.0,1.0,0.0
262,53,0.355,0.645,0.0
263,42,0.0,0.737,0.263
264,93,0.0,1.0,0.0
265,83,0.0,1.0,0.0
266,68,0.0,1.0,0.0
267,71,0.0,0.516,0.484
268,69,0.0,1.0,0.0
269,29,0.0,0.441,0.559
270,64,0.0,1.0,0.0
271,94,0.128,0.872,0.0
272,63,0.266,0.734,0.0
273,42,0.0,1.0,0.0
274,60,0.0,1.0,0.0
275,44,0.0,1.0,0.0
276,44,0.0,1.0,0.0
277,41,0.0,1.0,0.0
278,71,0.235,0.765,0.0
279,67,0.0,1.0,0.0
280,47,0.0,0.631,0.369
281,38,0.0,0.612,0.388
282,36,0.0,0.265,0.735
283,26,0.0,0.5,0.5
284,33,0.0,0.571,0.429
285,31,0.0,0.519,0.481
286,31,0.0,0.536,0.464
287,59,0.0,0.476,0.524
288,37,0.0,0.594,0.406
289,36,0.0,0.519,0.481
290,28,0.0,0.588,0.412
291,30,0.0,0.355,0.645
292,35,0.0,1.0,0.0
293,35,0.0,0.513,0.487
294,35,0.0,0.58,0.42
295,25,0.0,1.0,0.0
296,28,0.0,0.513,0.487
297,26,0.0,1.0,0.0
298,36,0.0,0.549,0.451
299,22,0.227,0.152,0.621
300,47,0.0,1.0,0.0
301,32,0.0,0.506,0.494
302,39,0.31,0.69,0.0
303,33,0.0,1.0,0.0
304,40,0.0,1.0,0.0
305,16,0.0,1.0,0.0
306,19,0.0,1.0,0.0
307,78,0.0,0.743,0.257
308,26,0.0,1.0,0.0
309,24,0.0,1.0,0.0
310,56,0.0,1.0,0.0
311,21,0.499,0.501,0.0
312,50,0.0,1.0,0.0
313,35,0.0,0.61,0.39
314,57,0.0,1.0,0.0
315,64,0.0,1.0,0.0
316,19,0.0,1.0,0.0
317,61,0.0,1.0,0.0
318,69,0.0,0.821,0.179
319,45,0.0,0.575,0.425
320,66,0.0,1.0,0.0
321,41,0.0,0.625,0.375
322,31,0.0,1.0,0.0
323,31,0.0,0.526,0.474
324,53,0.0,0.674,0.326
325,39,0.0,0.53,0.47
326,52,0.0,1.0,0.0
327,32,0.0,1.0,0.0
328,60,0.0,1.0,0.0
329,31,0.0,1.0,0.0
330,61,0.0,1.0,0.0
331,52,0.0,1.0,0.0
332,36,0.0,1.0,0.0
333,60,0.0,1.0,0.0
334,57,0.0,1.0,0.0
335,73,0.0,1.0,0.0
336,26,0.0,1.0,0.0
337,54,0.0,1.0,0.0
338,83,0.0,0.692,0.308
339,44,0.0,0.396,0.604
340,34,0.0,0.532,0.468
341,54,0.0,0.826,0.174
342,40,0.0,0.759,0.241
343,46,0.0,1.0,0.0
344,20,0.0,0.566,0.434
345,44,0.0,0.69,0.31
346,40,0.0,0.759,0.241
347,39,0.0,1.0,0.0
348,44,0.0,1.0,0.0
349,40,0.0,0.759,0.241
350,42,0.0,0.526,0.474
351,37,0.0,1.0,0.0
352,23,0.0,0.566,0.434
353,41,0.0,0.404,0.596
354,56,0.0,0.808,0.192
355,41,0.0,0.779,0.221
356,31,0.0,1.0,0.0
357,44,0.0,0.577,0.423
358,17,0.751,0.249,0.0
359,48,0.0,0.759,0.241
360,92,0.0,0.857,0.143
361,65,0.155,0.845,0.0
362,35,0.0,1.0,0.0
363,82,0.0,1.0,0.0
364,61,0.0,1.0,0.0
365,45,0.0,1.0,0.0
366,66,0.0,1.0,0.0
367,54,0.0,1.0,0.0
368,74,0.0,0.704,0.296
369,48,0.0,1.0,0.0
370,42,0.0,1.0,0.0
371,71,0.0,1.0,0.0
372,64,0.0,1.0,0.0
373,64,0.0,1.0,0.0
374,43,0.0,1.0,0.0
375,39,0.0,1.0,0.0
376,47,0.0,1.0,0.0
377,44,0.0,0.694,0.306
378,58,0.0,1.0,0.0
379,24,0.0,1.0,0.0
380,70,0.0,0.673,0.327
381,52,0.0,1.0,0.0
382,52,0.0,1.0,0.0
383,47,0.0,0.741,0.259
384,36,0.0,1.0,0.0
385,30,0.0,1.0,0.0
386,89,0.0,1.0,0.0
387,35,0.0,1.0,0.0
388,63,0.0,1.0,0.0
389,83,0.0,1.0,0.0
390,48,0.307,0.455,0.239
391,19,0.0,1.0,0.0
392,43,0.0,1.0,0.0
393,63,0.0,0.722,0.278
394,81,0.0,1.0,0.0
395,94,0.189,0.811,0.0
396,92,0.0,1.0,0.0
397,86,0.0,1.0,0.0
398,32,0.0,1.0,0.0
399,65,0.0,1.0,0.0
400,29,0.0,1.0,0.0
401,48,0.0,0.625,0.375
402,80,0.0,1.0,0.0
403,24,0.0,1.0,0.0
404,56,0.0,0.755,0.245
405,28,0.0,1.0,0.0
406,68,0.16,0.84,0.0
407,52,0.0,0.776,0.224
408,62,0.0,1.0,0.0
409,48,0.0,0.748,0.252
410,61,0.111,0.648,0.241
411,75,0.309,0.592,0.099
412,51,0.0,1.0,0.0
413,35,0.0,1.0,0.0
414,74,0.0,1.0,0.0
415,42,0.0,1.0,0.0
416,43,0.0,1.0,0.0
417,35,0.0,1.0,0.0
418,63,0.28,0.72,0.0
419,17,0.565,0.435,0.0
420,99,0.0,1.0,0.0
421,41,0.0,0.769,0.231
422,57,0.0,0.826,0.174
423,80,0.0,1.0,0.0
424,89,0.0,0.784,0.216
425,45,0.0,1.0,0.0
426,79,0.0,1.0,0.0
427,77,0.307,0.625,0.068
428,89,0.11,0.773,0.116
429,80,0.0,0.85,0.15
430,62,0.111,0.484,0.405
431,36,0.0,1.0,0.0
432,96,0.0,0.826,0.174
433,35,0.0,1.0,0.0
434,94,0.167,0.833,0.0
435,53,0.0,1.0,0.0
436,73,0.0,1.0,0.0
437,54,0.174,0.826,0.0
438,80,0.0,0.828,0.172
439,100,0.295,0.705,0.0
440,43,0.0,1.0,0.0
441,88,0.0,0.77,0.23
442,80,0.0,1.0,0.0
443,96,0.0,1.0,0.0
444,57,0.0,1.0,0.0
445,68,0.0,1.0,0.0
446,70,0.0,1.0,0.0
447,74,0.0,1.0,0.0
448,78,0.0,0.859,0.141
449,26,0.0,0.489,0.511
450,54,0.0,0.565,0.435
451,66,0.0,0.811,0.189
452,38,0.437,0.563,0.0
453,60,0.0,1.0,0.0
454,53,0.49,0.51,0.0
455,51,0.0,1.0,0.0
456,84,0.0,1.0,0.0
457,46,0.0,1.0,0.0
458,59,0.0,1.0,0.0
459,95,0.0,0.817,0.183
460,29,0.0,1.0,0.0
461,41,0.0,0.489,0.511
462,24,0.0,1.0,0.0
463,42,0.0,0.573,0.427
464,34,0.0,1.0,0.0
465,45,0.0,0.751,0.249
466,34,0.0,1.0,0.0
467,33,0.0,1.0,0.0
468,38,0.0,0.489,0.511
469,35,0.0,1.0,0.0
470,36,0.0,1.0,0.0
471,33,0.0,0.518,0.482
472,36,0.0,1.0,0.0
473,73,0.242,0.758,0.0
474,28,0.0,0.625,0.375
475,30,0.0,0.434,0.566
476,57,0.0,1.0,0.0
477,37,0.0,0.494,0.506
478,51,0.195,0.805,0.0
479,52,0.0,1.0,0.0
480,23,0.0,1.0,0.0
481,47,0.205,0.795,0.0
482,44,0.0,1.0,0.0
483,33,0.0,0.643,0.357
484,36,0.0,1.0,0.0
485,41,0.0,0.625,0.375
486,29,0.0,1.0,0.0
487,20,0.0,1.0,0.0
488,55,0.0,0.211,0.789
489,45,0.438,0.562,0.0
490,31,0.365,0.635,0.0
491,37,0.0,1.0,0.0
492,44,0.0,1.0,0.0
493,51,0.0,0.645,0.355
494,41,0.0,0.676,0.324
495,37,0.0,0.625,0.375
496,50,0.0,1.0,0.0
497,53,0.0,1.0,0.0
498,28,0.0,0.282,0.718
499,14,0.0,1.0,0.0
500,40,0.0,0.667,0.333
501,47,0.0,1.0,0.0
502,38,0.0,1.0,0.0
503,45,0.0,1.0,0.0
504,50,0.0,1.0,0.0
505,43,0.0,1.0,0.0
506,55,0.0,1.0,0.0
507,86,0.0,1.0,0.0
508,35,0.0,1.0,0.0
509,76,0.0,0.769,0.231
510,22,0.0,1.0,0.0
511,40,0.0,1.0,0.0
512,50,0.0,0.75,0.25
513,36,0.0,1.0,0.0
514,72,0.0,1.0,0.0
515,35,0.446,0.217,0.337
516,39,0.0,1.0,0.0
517,20,0.0,1.0,0.0
518,66,0.0,1.0,0.0
519,26,0.0,1.0,0.0
520,29,0.0,1.0,0.0
521,50,0.0,1.0,0.0
522,78,0.0,1.0,0.0
523,58,0.266,0.734,0.0
524,42,0.0,1.0,0.0
525,53,0.0,1.0,0.0
526,25,0.693,0.307,0.0
527,73,0.0,1.0,0.0
