,vidid,title_text,title_length,tmb_text,tmb_length,composite_sentiment
52,-NLBtZKx2cA,Woman Struck by Meteorite | Smarter Every Day 84,48,nan,0,0.04550000000000001
53,Q-1DoJMehQM,12 Animals in The Amazing Amazon (with Slow Mo) - Smarter Every Day 76,70,nan,0,0.2295
54,ipQkk7RxApg,DONT SEND ME TO AUBURN!!!!! (Roll Tide! Alabama 2009 & 2011 National Champions!),80,nan,0,0.0
55,HIr1W601U7w,"WE SPENT $78,000 OF YOUR MONEY in Peru - Smarter Every Day 126",62,2014 NOT FORGOTTEN,18,0.3695
56,kNGR5OvhM1c,Space Mountain Fears - Smarter Every Day 12,43,chase to ay,11,0.009500000000000008
57,Hf273uCVHvE,I built a wall - Time Lapse,27,nan,0,0.0
58,nMJaXNKtrIA,Baseball photography - with SCIENCE!,36,rtistic es,10,0.0
59,a3P1qIqGtRw,Crafts in Peru,14,nan,0,0.0
60,AWTuvTJKtr0,I Swam in a Pool of Liquid Mecury #Shorts,41,and subslantially heavier if,28,0.0
61,UJwkj82BJjo,What If the Earth Stopped Spinning for 5 Seconds?,49,IF SPINNING NO SECONDS FOR 5,28,-0.06599999999999999
62,KSQhjhoEvLs,What If Jupiter Became a Star?,30,JUPITER BECOMES a SUN IF,24,0.0
63,XkHCMuHXlFU,Where Are Megalodon Sharks Hiding? #Shorts,42,would either have t 1d bioluminescent become,44,0.124
64,o8JGsBDY1xI,What If It Takes Two Years for a COVID-19 Vaccine?,50,OF YEARS 2 with COVID-19,24,0.0
65,7yCTpDPEHtI,What If Spinosaurs Were Still Swimming Today?,45,SPINOSAURUS is ALIVE,20,0.3125
66,a-zZkuGAVQY,What If We Built Cloud Cities on Venus?,39,IF BUILDING  es cloud CITIES ON VENUS,37,0.0
67,7t1aG9PGKsk,What Happens If Everyone Falls Asleep at the Same Time?,55,IF EVERYONE ASLEEP FALLS at THE SAME time,41,-0.149
68,4v7de1JBlTw,What If You Were the Last Human on Earth? (Recut),49,IF THE LAST HUMAN ON EARTH,26,0.0
69,cYd0rcE7Kks,What If You Drank From Lake Natron?,35,IF DRINKING RI LAKI NATRON,26,-0.1905
70,hEszgpxhkic,What If Planet Nine Exists?,27,IF HIDDEN PLANET in THE SOLAR SYSTEM,36,0.0
71,_JiFJxOhDig,What If You Lived In a Closed Biosphere?,40,IF IVING IN CLOSED a BIOSPHERE,30,0.0
72,v2aShVTMMNc,What If We Stopped Burning Fossil Fuels RIght Now?,50,STOPPED WE if BURNING FOSSIL FUELS TODAY IF,43,-0.1365
73,OTQwTrYjJWM,What If You Drained the World's Largest Atoll?,46,IF DRAINING THE LARGEST ATOLL,29,-0.2115
74,p7s7GOFLFi4,What If Your Tongue Were Twice as Long?,39,IF LONGEST TONGUE WORLD IN THE,30,-0.1115
75,TEyt3i8g9WU,What If Bed Bugs Were the Size of Humans?,41,IF MASSIVE BED BUGS YOUR in,27,-0.162
76,N9U6A6OI-b4,What If We Had To Rebuild Human Society From Scratch?,53,IF COULD we STARI AGAIN?,24,0.111
77,RY2jp2o99p8,What If Jupiter Transformed Into a Rocky Planet?,48,JUPITER'S NEW LIFE IF,21,-0.237
78,W7CN7l--kzY,What If Algae Took Over the Oceans? #Shorts,43,nan,0,0.172
79,QAZH0oaqgSg,What If the U.S Were Under Lockdown?,36,IF U.S THE ON LOCKDOWN,22,0.0
80,3MqYE2UuN24,Is it Better to Walk or Run in the Rain?,40,nan,0,0.122
